                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.87033,                0.45499,                0.90879,                0.92362,                0.93063,                0.97583,                0.73949,                0.96535,                 0.4725,                0.94811,                0.00083,                0.00083,                0.00083
                     67,                0.87941,                0.46475,                0.91138,                 0.9243,                0.92423,                0.97344,                  0.736,                0.96343,                0.47982,                0.94979,               0.000812,               0.000812,               0.000812
                     68,                0.87601,                 0.4656,                0.91877,                0.92419,                0.91676,                0.96704,                 0.7347,                0.96532,                  0.512,                0.95122,               0.000794,               0.000794,               0.000794
                     69,                0.87369,                0.46138,                0.91191,                0.92203,                0.93063,                0.96985,                0.73439,                0.95309,                0.47434,                 0.9462,               0.000776,               0.000776,               0.000776
                     70,                0.87008,                0.45421,                0.91222,                0.88518,                0.94344,                0.96525,                0.72791,                0.96878,                0.49333,                0.94973,               0.000758,               0.000758,               0.000758
                     71,                 0.8672,                0.45826,                 0.9121,                0.90017,                0.93344,                0.96975,                0.73114,                0.96885,                0.49521,                0.95298,                0.00074,                0.00074,                0.00074
                     72,                0.86724,                0.45473,                0.91409,                0.91761,                0.93383,                0.97375,                0.73775,                0.96522,                0.47191,                0.94727,               0.000722,               0.000722,               0.000722
                     73,                0.87675,                0.46044,                0.91257,                0.90242,                 0.9349,                0.96675,                0.72777,                0.96403,                 0.4905,                0.95004,               0.000704,               0.000704,               0.000704
                     74,                0.86486,                 0.4609,                0.90656,                0.91525,                0.93359,                0.97062,                0.73839,                 0.9602,                0.47681,                0.94797,               0.000686,               0.000686,               0.000686
                     75,                0.87342,                0.46065,                0.90791,                 0.9135,                0.93383,                0.97643,                0.73912,                0.95832,                0.46857,                 0.9458,               0.000668,               0.000668,               0.000668
                     76,                0.85061,                0.44516,                0.91002,                0.90935,                0.93145,                0.96728,                0.73734,                0.94609,                0.48416,                0.94228,                0.00065,                0.00065,                0.00065
                     77,                0.86093,                0.45128,                0.91694,                0.89717,                0.93276,                0.96955,                0.73413,                  0.961,                0.49248,                0.94472,               0.000632,               0.000632,               0.000632
                     78,                0.86175,                 0.4467,                0.90828,                0.91342,                0.92331,                0.96964,                0.73596,                0.96113,                0.47106,                0.94672,               0.000614,               0.000614,               0.000614
                     79,                0.85976,                0.44793,                0.90703,                0.90369,                0.95411,                0.97429,                0.74521,                0.94967,                0.46569,                0.94307,               0.000596,               0.000596,               0.000596
                     80,                0.85465,                0.44444,                0.90674,                0.92235,                0.91996,                0.96885,                0.73213,                 0.9678,                0.48919,                0.95163,               0.000578,               0.000578,               0.000578
                     81,                0.85015,                0.44209,                 0.9044,                0.89117,                0.95257,                0.97341,                0.72921,                0.97577,                0.49626,                0.95323,                0.00056,                0.00056,                0.00056
                     82,                0.85966,                0.44493,                0.90667,                0.90264,                0.93917,                0.96698,                0.73852,                 0.9556,                0.47978,                0.94539,               0.000542,               0.000542,               0.000542
                     83,                 0.8508,                0.44557,                0.89605,                0.90875,                 0.9349,                0.97247,                0.73916,                 0.9604,                0.47613,                0.94521,               0.000524,               0.000524,               0.000524
                     84,                0.84902,                0.44124,                0.90332,                0.92068,                0.92423,                0.96927,                 0.7369,                0.95854,                0.47365,                0.94585,               0.000506,               0.000506,               0.000506
                     85,                0.83627,                0.43587,                0.90208,                0.91197,                0.93063,                0.96796,                 0.7387,                0.96038,                0.47062,                0.94672,               0.000488,               0.000488,               0.000488
                     86,                0.84345,                0.43479,                0.90414,                0.88825,                0.94664,                0.96714,                0.73589,                0.96637,                0.49208,                0.95027,                0.00047,                0.00047,                0.00047
                     87,                0.83957,                0.43033,                0.89954,                0.91281,                0.93851,                0.97362,                0.74011,                0.95649,                0.46476,                0.94627,               0.000452,               0.000452,               0.000452
                     88,                0.82089,                0.42437,                0.89768,                0.92573,                0.91787,                0.96054,                0.73354,                0.94494,                0.48137,                 0.9442,               0.000434,               0.000434,               0.000434
                     89,                0.82468,                0.43101,                0.89864,                0.91794,                0.93383,                0.97118,                0.73939,                0.95885,                0.46956,                0.94693,               0.000416,               0.000416,               0.000416
                     90,                0.82536,                0.43074,                 0.8965,                0.92144,                0.92633,                0.96852,                0.73489,                0.95661,                0.47963,                0.94958,               0.000398,               0.000398,               0.000398
                     91,                0.81052,                0.41496,                 0.9059,                 0.9013,                0.93703,                0.96823,                0.74045,                0.95495,                  0.507,                0.94838,                0.00038,                0.00038,                0.00038
                     92,                0.80794,                0.40392,                0.90325,                0.92431,                0.91996,                 0.9688,                0.73524,                0.97872,                0.48901,                0.95341,               0.000362,               0.000362,               0.000362
                     93,                0.80197,                0.40659,                0.89251,                0.93855,                0.91676,                 0.9724,                0.73652,                0.96578,                0.47201,                0.95057,               0.000344,               0.000344,               0.000344
                     94,                0.80143,                0.40424,                0.89537,                0.93228,                0.92554,                0.97258,                0.74104,                 0.9609,                0.47116,                0.94917,               0.000326,               0.000326,               0.000326
                     95,                0.79581,                0.39635,                0.88809,                0.91667,                 0.9349,                0.96725,                0.73016,                0.97829,                0.47765,                0.95685,               0.000308,               0.000308,               0.000308
                     96,                0.79323,                0.39203,                0.88989,                0.93152,                0.93383,                0.97489,                0.73978,                0.96134,                0.46247,                0.94919,                0.00029,                0.00029,                0.00029
                     97,                0.78664,                0.38779,                0.89282,                0.94028,                0.91676,                0.97528,                0.74285,                0.96419,                0.46208,                0.95081,               0.000272,               0.000272,               0.000272
                     98,                0.78056,                0.39218,                0.88584,                0.92242,                  0.939,                0.97065,                0.73993,                0.96535,                0.46534,                0.95116,               0.000254,               0.000254,               0.000254
                     99,                0.79172,                0.39169,                0.88956,                0.91366,                 0.9381,                0.97008,                0.73438,                0.96952,                0.47648,                0.95297,               0.000236,               0.000236,               0.000236
                    100,                0.78503,                0.38646,                0.89196,                0.93105,                 0.9285,                0.97111,                0.73742,                 0.9672,                0.47131,                0.95222,               0.000218,               0.000218,               0.000218
